SupplierID,SupplierName,Country,ContactPerson,ContactEmail
30001,Tech Supplies Ltd.,China,Li Wei,liwei@techsupplies.cn
30002,Euro Electronics GmbH,Germany,Hans Müller,hans@euroelectronics.de
30003,Home Appliances Co.,Netherlands,Anika Janssen,anika@homeappliances.nl
30004,Nippon Electronics Inc.,Japan,Yuki Tanaka,yuki@nippon.co.jp
30005,Bharat Manufacturing,India,Ravi Kumar,ravi@bharatmanufacturing.in
30006,Asia Tech Exporters,Singapore,Aisha Lim,aisha@asiatech.sg
30007,Korea Supplies Corp.,South Korea,Ji-ho Kim,jiho@koreasupplies.kr
30008,Belgium Electronics SA,Belgium,Luc Dubois,luc@belgiumelectronics.be
30009,Brazil Tech Exports,Brazil,Ana Souza,ana@braziltechexports.br
30010,Aussie Tech Solutions,Australia,Chloe Brown,chloe@aussietech.com.au
30011,Hong Kong Trading Co.,Hong Kong,Wing Lau,wing@hongkongtrading.hk
30012,Dubai Tech Supplies,UAE,Ahmed Al-Farsi,ahmed@dubaitech.ae
30013,Dutch Electronics BV,Netherlands,Maarten de Vries,maarten@dutchelectronics.nl
30014,Japan Tech Exporters,Japan,Satoshi Nakamura,satoshi@japantech.jp
30015,India Electronics Pvt.,India,Priya Sharma,priya@indiaelectronics.in
30016,Singapore Tech Pte Ltd,Singapore,Ken Wong,ken@singaporetech.sg
30017,Korea Electronics Inc.,South Korea,Min-seo Park,minseo@koreaelectronics.kr
30018,Belgium Tech Exporters,Belgium,Sophie Verhoeven,sophie@belgiumtechexporters.be
30019,Brazil Electronics SA,Brazil,Pedro Costa,pedro@brazilelectronics.br
30020,Australia Tech Ltd.,Australia,Ella Wilson,ella@australiatech.com.au
